"data_sprawdzenia","nazwa kanalu","url kanalu","liczba subskrybentow","suma wyswietlen filmow, które ukazaly się na kanale w osatnim tygodniu","suma wyswietlen filmow, które ukazaly się na kanale w osatnim miesiacu"
"2022-01-20","CiemnaStrefa","https://www.youtube.com/channel/UCVM6X2lfU9S3VOb5bM5IHiQ","767030","0","131758"
"2022-01-20","Disney Plus","https://www.youtube.com/channel/UCIrgJInjLS2BhlHOMDW7v0g","764158","3316005","4093257"
"2022-01-20","DoramaFan","https://www.youtube.com/channel/UCHQHqtRai1pwn8DfNIOLtFg","760017","0","247027"
"2022-01-20","BEczKA","https://www.youtube.com/channel/UC0kyWT2BAgiZiBs-7svl37Q","753121","0","3969249"
"2022-01-20","Andziaks","https://www.youtube.com/channel/UCC957FjOFGwQgIpzwTUz7NQ","751176","682056","3392855"
"2022-01-20","Kocham Gotować","https://www.youtube.com/channel/UCkxE2o_0oYHRtXNAKoV2JoA","747463","5066","18625"
"2022-01-20","Budda. TV","https://www.youtube.com/channel/UC8LJZNHnqXKg5TMgyvxszPA","747017","677044","5602394"
"2022-01-20","LJayPL","https://www.youtube.com/channel/UCVV5Jap818zgIDLbC3vRtIw","746457","11739","95330"
"2022-01-20","emce□","https://www.youtube.com/channel/UCZgxE8WOvOmHNfMpv1otPxQ","738568","0","419669"
"2022-01-20","Max Krasoń","https://www.youtube.com/channel/UC75G8PPMFaP_VNvULe31dBw","731537","0","11783"
"2022-01-20","SPRYTNY SZLAM SAM","https://www.youtube.com/channel/UCyHLnoraskSzQjBEBXsao8A","723112","29946","1067870"
"2022-01-20","Magda Bereda","https://www.youtube.com/channel/UCTQUMLXr_0erK5wAtvYAOgg","721463","0","302385"
"2022-01-20","Eleven","https://www.youtube.com/channel/UCMXvZkRqP8OFkqM7dFilLCA","717546","0","6883981"
"2022-01-20","donGURALesko","https://www.youtube.com/channel/UCizFguf9h2vM0zlvjHVH9iw","713513","0","590692"
"2022-01-20","Konopskyy","https://www.youtube.com/channel/UCR7uLtPuXsDpN8N6ocFQyeg","712190","1151091","5394975"
"2022-01-20","Tobiasz","https://www.youtube.com/channel/UC9SDnTcdoJCQm50ZnQ_Oqpw","710106","0","0"
"2022-01-20","Zaczarowany Świat Sary","https://www.youtube.com/channel/UCt3xBaPP5ebZpe5q3pCSguA","705183","340207","2374146"
"2022-01-20","123 GO! Polish","https://www.youtube.com/channel/UCTZd3zUmd5yaXsfCZnausig","703455","77932","747926"
"2022-01-20","Pawlikowe Fanduby","https://www.youtube.com/channel/UC3Vu_TPM-SNPzs26aoIZ_BQ","696468","103778","275665"
"2022-01-20","LakiYT Minecraft","https://www.youtube.com/channel/UCBQOSXdK0rgWIGCYCw4rd7g","696430","129979","412343"
"2022-01-20","Jcob","https://www.youtube.com/channel/UCPiXjAdw5F2kq0hoA35d4LQ","695424","98962","719060"
"2022-01-20","MISIA i JA","https://www.youtube.com/channel/UCY6FiIXqqhtAfT4dVDL0czg","694085","118559","630929"
"2022-01-20","Nanami Chan","https://www.youtube.com/channel/UCs9VBpM4GYugOZCMsGhycvw","689417","86228","297772"
"2022-01-20","Alfons","https://www.youtube.com/channel/UC_992p_rzzgvs58lXmJwOHg","685528","0","0"
"2022-01-20","MatrunerPL Minecraft","https://www.youtube.com/channel/UCbgsp9UwwYb0Q4T8iq2fklQ","683467","77258","686538"
"2022-01-20","The Voice of Poland","https://www.youtube.com/channel/UCz-tVpdKaxTWdEGgAoIeggQ","683026","120230","1105165"
"2022-01-20","BraKe","https://www.youtube.com/channel/UCbXUpnhBElRRKA3EJGBbiUg","678526","59929","781448"
"2022-01-20","Admiros","https://www.youtube.com/channel/UCn1WtBUGqRy0hS7X3zcH6lw","677050","1126753","6423161"
"2022-01-20","Tivolt","https://www.youtube.com/channel/UCv2IxyoJetx3b3nPbHJbx3g","676463","444907","2421055"
"2022-01-20","OMatkoiCórko!!!","https://www.youtube.com/channel/UCdLJYdsJDHQUdneGpnOp5tw","675457","33442","352737"
"2022-01-20","Ravgor","https://www.youtube.com/channel/UCaK-eFcgZZq3MV31D9gUq5Q","673537","0","0"
"2022-01-20","Hadesiak","https://www.youtube.com/channel/UC3jVE_f5sxkqllwZSvMiaqA","670423","162349","902468"
"2022-01-20","█▬█ █ ▀█▀ - MegaDyskont.pl - toys and cartoons for kids","https://www.youtube.com/channel/UCilWeTOobp0H0vpzIlHqSNA","665119","7899","56887"
"2022-01-20","Junior Eurovision Song Contest","https://www.youtube.com/channel/UC-lkYjunAyfultKGuRJz6HQ","662064","0","742958"
"2022-01-20","Uwaga! Naukowy Bełkot","https://www.youtube.com/channel/UC_7PqixGIdE-jjoHKMPYpGA","658476","0","945952"
"2022-01-20","Vanila Records","https://www.youtube.com/channel/UCZv9g3AfQQVCJbtLZbrfIUg","657421","579","709467"
"2022-01-20","Margaret","https://www.youtube.com/channel/UCAPdjgNAqQlu4yRU9wDImTg","650464","0","5449"
"2022-01-20","Kanał Sportowy","https://www.youtube.com/channel/UCIfI7Yo22SMKp5PraztHM6w","645069","2754868","8405780"
"2022-01-20","Verba Official","https://www.youtube.com/channel/UCPXh-KyTCCVr46b6mZ_laxQ","644419","50401","755062"
